Paper_ID;PreProcessed;Original
0; System design can influence users’ emotions and thereby impact important user behavior.;﻿system design can influence user emotion and thereby impact important user behavior
0;For example, human– computer interaction (HCI) research has found that a system’s aesthetic appearance and consistency, as well as atmospheric cues, such as interactivity or vividness, may impact users’ emotions.;﻿for example human computer interaction hci research have find that a system aesthetic appearance and consistency as well as atmospheric cue such as interactivity or vividness may impact user emotion
0;From a practitioners’ perspective, Microsoft’s Usability Guidelines explicitly acknowledge the role of interface design in evoking users’ emotions.;﻿from a practitioner perspective microsoft usability guideline explicitly acknowledge the role of interface design in evoke user emotion
0;While the rela- tive impact of emotion on users’ assessments and behaviors is dependent on the task and the medium, both the design of and the interaction with a system influence emotions in various contexts.;﻿while the relative impact of emotion on user assessment and behavior be dependent on the task and the medium both the design of and the interaction with a system influence emotion in various context
0;Positive emotion induced through system design has been shown to influence the acceptance and use of technology .;﻿positive emotion induce through system design have be show to influence the acceptance and use of technology
0;In contrast, negative emotion induced through system design adversely influences ease-of-use and thereby intentions to use a system, technology use, disclosure of information, online purchasing decisions, and customer loyalty.;﻿in contrast negative emotion induce through system design adversely influence ease of use and thereby intention to use a system technology use disclosure of information online purchasing decision and customer loyalty
0;For example, online shoppers who experience negative emotion are more likely to leave and not return to e-commerce websites.;﻿for example online shopper who experience negative emotion be more likely to leave and not return to e commerce website
0;Users who experience negative emotion are also more likely to spread negative word of mouth, which may hurt the profitability and success of online companies.;﻿user who experience negative emotion be also more likely to spread negative word of mouth which may hurt the profitability and success of online company
0;The ability to easily assess users’ negative emotion during live system use has practical significance for the design, evalua- tion, and continuous improvement of information systems.;﻿the ability to easily assess user negative emotion during live system use have practical significance for the design evaluation and continuous improvement of information system
0;One potential methodology for inferring users’ emotions is through analyzing data collected from HCI user-input devices.;﻿one potential methodology for infer user emotion be through analyze datum collect from hci user input device
0;Users interact with technology using various input devices, including the computer mouse, touch screens, and other devices.;﻿user interact with technology use various input device include the computer mouse touch screen and other device
0;In addition to enabling interaction with technology, these devices are also high-fidelity sensors that gather valu- able information about the user.;﻿in addition to enable interaction with technology these device be also high fidelity sensor that gather valuable information about the user
0;For example, tracking the mouse cursor provides precise information about a person’s motor movements with millisecond and sometimes microsecond precision.;﻿for example track the mouse cursor provide precise information about a person motor movement with millisecond and sometimes microsecond precision
0;Likewise, mobile phones can not only capture precise motor-movement information when people touch the screen, but also position and motion information captured through the device’s accel- erometer and gyroscope.;﻿likewise mobile phone can not only capture precise motor movement information when people touch the screen but also position and motion information capture through the device accelerometer and gyroscope
0;This informa- tion can indicate emotional and cognitive states of users In this paper, we specifically examine the efficacy of using mouse cursor movements to infer negative emotion, providing a method for unobtrusive and mass-deployable emotion assessment.;﻿this information can indicate emotional and cognitive state of user in this paper we specifically examine the efficacy of use mouse cursor movement to infer negative emotion provide a method for unobtrusive and mass deployable emotion assessment
0;For example, one can record mouse cursor movements as users interact with a website without inter- fering with their interaction.;﻿for example one can record mouse cursor movement as user interact with a website without interfere with their interaction
0;System designers can then identify segments of the interaction that are inducing negative emotion by analyzing these mouse cursor movements.;﻿system designer can then identify segment of the interaction that be induce negative emotion by analyze these mouse cursor movement
0;Designers can use this information to better understand where to make system improvements.;﻿designer can use this information to better understand where to make system improvement
0;Further, if mouse cursor movements can be used to infer negative emotion, a system can automatically detect when one is likely experiencing a negative emotional reaction and intervene to alleviate the negative reaction, such as by providing users opportunities to express their concerns, apologetic state- ments, compensation, or explanations.;﻿further if mouse cursor movement can be use to infer negative emotion a system can automatically detect when one be likely experience a negative emotional reaction and intervene to alleviate the negative reaction such as by provide user opportunity to express their concern apologetic statement compensation or explanation
0;To explain how negative emotion influences mouse cursor movements, we draw on attentional control theory (ACT) .;﻿to explain how negative emotion influence mouse cursor movement we draw on attentional control theory act
0;ACT explains that negative emotion decreases people’s ability to control their attention.;﻿act explain that negative emotion decrease people ability to control their attention
0;Merging ACT with research demonstrating that attention influences mouse movements, we explain how negative emotion influences mouse cursor movements, speci- fically mouse cursor distance and speed.;﻿merge act with research demonstrating that attention influence mouse movement we explain how negative emotion influence mouse cursor movement specifically mouse cursor distance and speed
0;Although past litera- ture has empirically suggested that emotion influences mouse cursor movements, our research provides a theoretical foundation explaining why negative emotion influences mouse cursor distance and speed.;﻿although past literature have empirically suggest that emotion influence mouse cursor movement our research provide a theoretical foundation explain why negative emotion influence mouse cursor distance and speed
0;In summary, our research is guided by two research questions: RQ1: Does negative emotion influence mouse cursor distance and speed?;﻿in summary our research be guide by two research question rq do negative emotion influence mouse cursor distance and speed
0;RQ2: Can the tracking and analysis of mouse cursor distance and speed be used to infer negative emotion?;﻿rq can the tracking and analysis of mouse cursor distance and speed be use to infer negative emotion
0;In answering these questions, we contribute to research and practice in HCI.;﻿in answer these question we contribute to research and practice in hci
0;As an initial step, we hypothesize and empi- rically test the effects of negative emotion on mouse cursor movements.;﻿as an initial step we hypothesize and empirically test the effect of negative emotion on mouse cursor movement
0;This lays the foundation for future research to examine the influence of other emotions on mouse cursor movements and the influence of emotion on the usage of other HCI user-input devices.;﻿this lay the foundation for future research to examine the influence of other emotion on mouse cursor movement and the influence of emotion on the usage of other hci user input device
0;In particular, we contribute to research by explaining why negative emotion (1) decreases the precision of users’ movements, resulting in greater move- ment distance, and (2) consumes cognitive resources, resulting in slower movement speed.;﻿in particular we contribute to research by explain why negative emotion decrease the precision of user movement result in greater movement distance and consume cognitive resource result in slower movement speed
0;We empirically demon- strate that mouse cursor distance and speed can be used to infer negative emotion.;﻿we empirically demonstrate that mouse cursor distance and speed can be use to infer negative emotion
0;Thus, we respond to calls in the information systems literature to utilize psychophysiological tools that provide new methodological approaches for investi- gating the development and use of systems.;﻿thus we respond to call in the information system literature to utilize psychophysiological tool that provide new methodological approach for investigate the development and use of system
0;Further, we provide a methodology for assessing users’ negative emotions in real time, enabling both academic and practitioner research that cannot be easily conducted using traditional assessments.;﻿further we provide a methodology for assess user negative emotion in real time enable both academic and practitioner research that can not be easily conduct use traditional assessment
0;These opportunities in HCI research include gauging negative emotional reactions during live system use, examining emotional reactions with more temporal precision, conducting multimethod emotion research, and creating more unobtrusive affective and adaptive systems.;﻿these opportunity in hci research include gauge negative emotional reaction during live system use examine emotional reaction with more temporal precision conduct multimethod emotion research and create more unobtrusive affective and adaptive system
0;Emotion and Motor Responses Emotion is typically characterized as relatively brief experi- ences that are associated with the cognitive appraisal of an external stimulus or situation, such as an ap- praisal of a website or online vendor.;﻿emotion and motor response emotion be typically characterize as relatively brief experience that be associate with the cognitive appraisal of an external stimulus or situation such as an appraisal of a website or online vendor
0;Emotion has been defined as a mental state of readiness that arises from cognitive appraisals of events or thoughts; has a phenome- nological tone; is accompanied by physiological processes; is often expressed physically (for example, in ges- tures, posture, facial features); and may result in specific actions to affirm or cope with the emotion Emotion can be classified based on three independent and bipolar dimensions: pleasure, arousal, and dominance.;﻿emotion have be define as a mental state of readiness that arise from cognitive appraisal of event or thought have a phenomenological tone be accompany by physiological process be often express physically for example in gesture posture facial feature and may result in specific action to affirm or cope with the emotion emotion can be classify base on three independent and bipolar dimension pleasure arousal and dominance
0;Pleasure ranges from extreme unhappiness to extreme happiness.;﻿pleasure range from extreme unhappiness to extreme happiness
0;Arousal ranges from sleep to excitement, with intermediate states of drowsiness to alertness.;﻿arousal range from sleep to excitement with intermediate state of drowsiness to alertness
0;Dominance ranges from feelings of a total lack of control to extreme feelings of influence and control.;﻿dominance range from feeling of a total lack of control to extreme feeling of influence and control
0;Our research focuses on how the pleasure dimension—specifically negative emotion—influences mouse cursor movements.;﻿our research focus on how the pleasure dimension specifically negative emotion influence mouse cursor movement
0;We chose to focus on how this dimension of emotion influences mouse cursor movements because past research has robustly shown that negative emotions deter users’ adoption and use of e-commerce sites.;﻿we choose to focus on how this dimension of emotion influence mouse cursor movement because past research have robustly show that negative emotion deter user adoption and use of e commerce site
0;Neurological research suggests that “negative emotions have selective, direct connections to brain structures that mediate motor responses,” including movements in the arm and hand .;﻿neurological research suggest that negative emotion have selective direct connection to brain structure that mediate motor response include movement in the arm and hand
0;Further research suggests that negative emotion influences motor track excitability—the electrical stimulation in the nerves that initiate movement —and elicit motor evoked potentials, that is, electrical stimulation recorded on the muscles indi- cating potential movement.;﻿further research suggest that negative emotion influence motor track excitability the electrical stimulation in the nerve that initiate movement and elicit motor evoke potential that is electrical stimulation record on the muscle indicate potential movement
0;Furthermore, negative emotion can influence motor movement reaction times, and the amount of muscle force that is produced We draw on attentional control theory (ACT) to explain how negative emotion influences mouse cursor distance and speed.;﻿furthermore negative emotion can influence motor movement reaction time and the amount of muscle force that be produce we draw on attentional control theory act to explain how negative emotion influence mouse cursor distance and speed
0;ACT explains that when experi- encing negative emotion, people’s attention shifts from being goal-directed to being stimulus-driven, increasing awareness of distracting stimuli in the environment (for example, stimuli causing negative emotion).;﻿act explain that when experience negative emotion people attention shift from be goal direct to be stimulus drive increase awareness of distract stimulus in the environment for example stimulus cause negative emotion
0;In neurological terms, negative emotion suppresses the brain’s attentional inhibition and shifting functions.;﻿in neurological term negative emotion suppress the brain attentional inhibition and shift function
0;Attentional inhibition refers to the function of the brain that prevents stimuli unrelated to a task from capturing attention.;﻿attentional inhibition refer to the function of the brain that prevent stimulus unrelated to a task from capture attention
0;Attentional shifting allocates attention to stimuli that are most relevant to a task.;﻿attentional shifting allocate attention to stimulus that be most relevant to a task
0;ACT further posits that pro- cessing more stimuli when experiencing negative emotion reduces the processing capacity of working memory, which decreases task performance.;﻿act further posit that process more stimulus when experience negative emotion reduce the processing capacity of work memory which decrease task performance
0;ACT has been widely validated.;﻿act have be widely validate
0;The theory was originally used to describe how anxiety influences attentional control; however, since its inception, it has been extended to explain how other negative emotional responses, including frustration, sadness, fear, and depression, decrease attentional control.;﻿the theory be originally use to describe how anxiety influence attentional control however since its inception it have be extend to explain how other negative emotional response include frustration sadness fear and depression decrease attentional control
0;ACT also has been utilized to explain the influence of emotional states on motor movement planning, and therefore has relevance for understanding mouse cursor movements.;﻿act also have be utilize to explain the influence of emotional state on motor movement planning and therefore have relevance for understanding mouse cursor movement
0;For example, based on ACT, research has explained how trait anxiety influences motor efficiency in the hand and fingers, how physiological pressure influences visuomotor control—that is, using visual feedback to guide hand move- ments, and how physiological pressure influences corticospinal motor tract excitability and performance of finger movements.;﻿for example base on act research have explain how trait anxiety influence motor efficiency in the hand and finger how physiological pressure influence visuomotor control that is use visual feedback to guide hand movement and how physiological pressure influence corticospinal motor tract excitability and performance of finger movement
0;Negative Emotion and Mouse In HCI research, emotions have been primarily assessed using either self-report measures or psychophysiological tools.;﻿negative emotion and mouse in hci research emotion have be primarily assess use either self report measure or psychophysiological tool
0;Using these measures and tools has both advantages and shortcomings.;﻿use these measure and tool have both advantage and shortcoming
0;Whereas self-report measures are relatively easy to administer, their use is typically limited to academic research, and the responses are subject to various biases.;﻿whereas self report measure be relatively easy to administer their use be typically limit to academic research and the response be subject to various bias
0;Psycho- physiological tools (such as facial electromyography) can allow assessing emotions with high temporal precision, but their application is typically limited to studies conducted in a laboratory.;﻿psycho physiological tool such as facial electromyography can allow assess emotion with high temporal precision but their application be typically limit to study conduct in a laboratory
0;In contrast, mouse cursor movements can be recorded unobtrusively during live interactions with a system.;﻿in contrast mouse cursor movement can be record unobtrusively during live interaction with a system
0;Prior HCI research provides preliminary support that emotion may influence mouse cursor movements.;﻿prior hci research provide preliminary support that emotion may influence mouse cursor movement
0;For example, Maehr elicited emotional states through three film clips in an experiment: a neutral video, a video provoking sadness, and a video promoting happiness.;﻿for example maehr elicit emotional state through three film clip in an experiment a neutral video a video provoke sadness and a video promote happiness
0;After watching each video, participants answered a questionnaire about their feelings while mouse cursor movements were being logged and analyzed.;﻿after watch each video participant answer a questionnaire about their feeling while mouse cursor movement be be log and analyze
0;The results suggest that emotional changes influ- ence the precision, smoothness, speed, and acceleration of mouse movements.;﻿the result suggest that emotional change influence the precision smoothness speed and acceleration of mouse movement
0;Grimes manipulated arousal (high versus low) and pleasure (positive versus negative) through images from the International Affect Picture System , finding that negative emotion increased direction changes and distance, as well as decreased the speed of people’s mouse movements.;﻿grime manipulate arousal high versus low and pleasure positive versus negative through image from the international affect picture system find that negative emotion increase direction change and distance as well as decrease the speed of people mouse movement
0;Zimmerman and his colleagues manipulated mood through film clips, finding that mood state was correlated with mouse cursor movements.;﻿zimmerman and his colleague manipulate mood through film clip find that mood state be correlate with mouse cursor movement
0;Further, Sun examined how mouse movements could be used to detect muscle stiffness associated with stress.;﻿further sun examine how mouse movement could be use to detect muscle stiffness associate with stress
0;They induced stress through social pressure, time pressure, repetition, and performance pressure.;﻿they induce stress through social pressure time pressure repetition and performance pressure
0;Their results indicated that muscle stiffness from stress influences users’ mouse movements.;﻿their result indicate that muscle stiffness from stress influence user mouse movement
0;Salmeron-Majadas monitored mouse movements as students completed math problems and then correlated 96 mouse indicators with self-reported plea- sure and arousal.;﻿salmeron majada monitor mouse movement as student complete math problem and then correlate mouse indicator with self report pleasure and arousal
0;Finally, Weinmann described the functional requirements for designing a system capable of inferring emotion through analyzing mouse movements in online stores.;﻿finally weinmann describe the functional requirement for design a system capable of infer emotion through analyze mouse movement in online store
0;Table 1 summarizes how emotions may influence hand and mouse cursor movements.;﻿table summarize how emotion may influence hand and mouse cursor movement
0;We address two gaps in this research.;﻿we address two gap in this research
0;First, much of the prior research is exploratory and observational, void of theory explaining why emotion influences mouse movements.;﻿first much of the prior research be exploratory and observational void of theory explain why emotion influence mouse movement
0;Drawing on and extending ACT, we explain why negative emotion will influence users’ mouse cursor movements.;﻿draw on and extend act we explain why negative emotion will influence user mouse cursor movement
